candidate_id,age_group,minimal_proxy,with_proxies,without_direct_age_proxies,delta_with_vs_without,delta_without_vs_minimal,delta_with_vs_minimal
cand_001379,30-39,0.6069685,0.57967067,0.5926648,-0.012994111,-0.014303744,-0.027297854
cand_001380,60+,0.69776154,0.7368264,0.6871638,0.04966265,-0.010597765,0.039064884
cand_001415,40-49,0.68050325,0.71956867,0.6491891,0.070379555,-0.031314135,0.03906542
cand_001420,60+,0.588593,0.626143,0.6436806,-0.017537594,0.055087566,0.037549973
cand_001440,30-39,0.6632996,0.65655345,0.6264887,0.030064762,-0.036810935,-0.006746173
cand_001448,<30,0.5955483,0.5620128,0.60673547,-0.044722676,0.011187196,-0.03353548
cand_001458,50-59,0.66298974,0.6614415,0.7066755,-0.045234025,0.043685794,-0.0015482306
cand_001470,30-39,0.6339853,0.66466963,0.6526817,0.011987925,0.018696427,0.030684352
cand_001471,40-49,0.63277656,0.610025,0.62047017,-0.010445178,-0.012306392,-0.02275157
cand_001498,60+,0.687693,0.67969245,0.65754503,0.022147417,-0.03014797,-0.008000553
cand_001518,30-39,0.5528544,0.6126235,0.59385914,0.018764377,0.041004717,0.059769094
cand_001534,30-39,0.5837774,0.63325226,0.64924073,-0.01598847,0.065463305,0.049474835
cand_001542,30-39,0.5935271,0.5832418,0.5559087,0.02733314,-0.0376184,-0.010285258
cand_001553,60+,0.5632865,0.6064968,0.56560063,0.040896177,0.0023141503,0.043210328
cand_001564,60+,0.64951193,0.67499197,0.6187203,0.056271672,-0.03079164,0.025480032
cand_001571,40-49,0.61639243,0.5798763,0.60286033,-0.022984028,-0.013532102,-0.03651613
cand_001574,50-59,0.66409886,0.7189032,0.6913531,0.027550101,0.027254224,0.054804325
cand_001577,<30,0.5334542,0.49906453,0.5995937,-0.100529164,0.06613952,-0.034389645
cand_001583,50-59,0.607713,0.6251807,0.5851735,0.040007234,-0.022539496,0.017467737
cand_001584,60+,0.4398402,0.44450435,0.5379979,-0.09349355,0.098157704,0.004664153
cand_001590,50-59,0.66434884,0.6888114,0.7116549,-0.02284348,0.04730606,0.02446258
cand_001600,30-39,0.55396616,0.57525134,0.60822594,-0.0329746,0.054259777,0.021285176
cand_001611,30-39,0.57079065,0.5915523,0.62040466,-0.028852344,0.049614012,0.020761669
cand_001617,50-59,0.6170584,0.6448432,0.6871616,-0.042318404,0.07010323,0.027784824
cand_001633,<30,0.65116763,0.62836975,0.628736,-0.00036627054,-0.022431612,-0.022797883
cand_001654,<30,0.6175908,0.61941636,0.6138977,0.005518675,-0.0036931038,0.0018255711
cand_001659,30-39,0.63959056,0.6379628,0.6243742,0.013588607,-0.015216351,-0.0016277432
cand_001664,40-49,0.6779789,0.666837,0.71489954,-0.048062563,0.036920667,-0.011141896
cand_001679,30-39,0.5709921,0.6292275,0.58003616,0.049191356,0.009044051,0.058235407
cand_001680,30-39,0.5854053,0.6551219,0.6177368,0.037385106,0.032331526,0.06971663
cand_001683,40-49,0.54934853,0.6204336,0.54755694,0.07287669,-0.0017915964,0.071085095
cand_001686,60+,0.6314867,0.708285,0.66467464,0.043610334,0.033187926,0.07679826
cand_001696,<30,0.5873139,0.59459317,0.65419304,-0.059599876,0.06687915,0.007279277
cand_001702,<30,0.4487189,0.5567476,0.51422006,0.042527556,0.06550115,0.10802871
cand_001706,30-39,0.5415126,0.51971674,0.58091116,-0.06119442,0.03939855,-0.021795869
cand_001718,40-49,0.55142033,0.63247526,0.65838623,-0.025910974,0.1069659,0.081054926
cand_001731,30-39,0.5100906,0.566096,0.5925281,-0.026432097,0.082437515,0.05600542
cand_001733,30-39,0.5209433,0.6177804,0.5548452,0.06293517,0.03390193,0.0968371
cand_001738,50-59,0.69788456,0.57902867,0.6683152,-0.089286506,-0.029569387,-0.11885589
cand_001750,<30,0.66919774,0.60788566,0.6809174,-0.07303172,0.011719644,-0.06131208
cand_001753,40-49,0.6178554,0.6805817,0.68177295,-0.0011912584,0.06391752,0.06272626
cand_001766,<30,0.6405431,0.63040954,0.63239384,-0.0019842982,-0.008149266,-0.0101335645
cand_001770,60+,0.7054903,0.65531826,0.72644216,-0.0711239,0.020951867,-0.05017203
cand_001790,40-49,0.71329546,0.686977,0.72047776,-0.03350073,0.0071823,-0.02631843
cand_001809,30-39,0.49892902,0.6019428,0.61214,-0.010197222,0.113210976,0.103013754
cand_001810,50-59,0.63092184,0.7064985,0.69119835,0.015300155,0.06027651,0.07557666
cand_001815,40-49,0.5859741,0.61549646,0.6074019,0.008094549,0.02142781,0.02952236
cand_001818,50-59,0.5953033,0.64977455,0.61660516,0.03316939,0.021301866,0.054471254
cand_001831,40-49,0.5573312,0.58319443,0.6281893,-0.04499489,0.07085812,0.02586323
cand_001836,30-39,0.5755043,0.4802283,0.55705047,-0.07682216,-0.018453836,-0.095276
cand_001837,30-39,0.55104554,0.5583732,0.56869286,-0.01031965,0.017647326,0.007327676
cand_001856,<30,0.5429505,0.6731107,0.57152414,0.10158658,0.028573632,0.13016021
cand_001872,30-39,0.5568553,0.6254444,0.6356295,-0.010185063,0.078774154,0.06858909
cand_001897,60+,0.62424487,0.6541523,0.6414356,0.012716651,0.017190754,0.029907405
cand_001901,<30,0.5400288,0.56852746,0.5551707,0.013356745,0.015141904,0.02849865
cand_001906,30-39,0.6020367,0.5948068,0.63860077,-0.043793976,0.036564052,-0.007229924
cand_001923,40-49,0.686309,0.70564985,0.7159903,-0.010340452,0.029681325,0.019340873
cand_001924,40-49,0.6519425,0.6420133,0.64042586,0.0015874505,-0.011516631,-0.00992918
cand_001925,60+,0.6538027,0.6421171,0.66751766,-0.025400579,0.013714969,-0.01168561
cand_001926,60+,0.5938139,0.61418915,0.6297469,-0.015557766,0.035933018,0.020375252
cand_001929,<30,0.61333036,0.58603716,0.6304657,-0.044428527,0.017135322,-0.027293205
cand_001934,40-49,0.67958885,0.681211,0.70142454,-0.020213544,0.021835685,0.0016221404
cand_001958,40-49,0.601243,0.64925575,0.5301795,0.11907625,-0.07106352,0.048012733
cand_001967,30-39,0.555819,0.5653118,0.5568824,0.008429408,0.0010634065,0.009492815
cand_001971,60+,0.59099096,0.52359426,0.549938,-0.026343763,-0.041052938,-0.0673967
